system,n,delta,tol,method,cycles,converged,residual,error,F_total_including_terminal,J,LU,solves,matvec_entries,vector_scale_entries,time_median_s,time_iqr_s,time_min_s,work_total_k1p0,work_total_k1p298,work_total_k1p7,work_total_k3p23511
H2,50,0.1000000000000002,1e-10,M6,1,1,3.496750111603816e-15,8.95090418262362e-16,4,2,1,5,5000,100,0.0001715,1.3249999999999997e-05,0.0001681,108250.0,108689.55,109282.5,111546.78725
H3,100,0.1000000000000004,1e-10,P5,1,1,0.0,0.0,6,1,1,5,0,0,0.0002512,2.2850000000000013e-05,0.0002359,592500.0,594153.8999999999,596385.0,604904.8605000001
H3,100,0.1000000000000004,1e-10,M6,1,1,3.72014413826016e-15,9.155133597044477e-16,4,2,1,5,20000,200,0.0002512,1.8749999999999995e-05,0.0002432,569900.0,571583.7,573855.0,582528.3715
H4,150,0.0999999999999998,1e-10,P5,1,1,5.5102214927216124e-17,1.3877787807814457e-17,6,1,1,5,0,0,0.0005708,6.544999999999999e-05,0.0005202,1716850.0,1720448.3499999999,1725302.5,1743838.9532500003
H4,150,0.0999999999999998,1e-10,M6,1,1,9.11760061461197e-15,2.2315638142795905e-15,4,2,1,5,45000,300,0.0005717,7.519999999999988e-05,0.0005293,1665550.0,1669193.0499999998,1674107.5,1692874.2197500002
H5,200,0.0999999999999992,1e-10,P5,1,1,0.0,0.0,6,1,1,5,0,0,0.0010166,7.860000000000007e-05,0.0009501,3707400.0,3713687.8000000003,3722170.0,3754560.8209999995
H5,200,0.0999999999999992,1e-10,M6,1,1,1.801529696042477e-15,4.440892098500626e-16,4,2,1,5,80000,400,0.0010395,0.0001627,0.0009716,3619000.0,3625347.4000000004,3633910.0,3666607.843
H1,20,0.1,1e-12,P5,1,1,7.40450997286216e-13,1.8246516517995312e-13,6,1,1,5,0,0,0.0001258,6.399999999999993e-06,0.0001228,12920.0,13006.419999999998,13123.0,13568.181900000001
H1,20,0.1,1e-12,M6,1,1,9.557787253587376e-13,2.327685849629159e-13,4,2,1,5,800,40,0.0001252,7.50000000000002e-06,0.0001215,12100.0,12186.419999999998,12303.0,12748.181900000001
H2,50,0.1000000000000002,1e-12,P5,1,1,0.0,0.0,6,1,1,5,0,0,0.0001752,1.0400000000000009e-05,0.0001699,114650.0,115089.55,115682.5,117946.78725
H2,50,0.1000000000000002,1e-12,M6,1,1,3.496750111603816e-15,8.95090418262362e-16,4,2,1,5,5000,100,0.0001747,1.2350000000000002e-05,0.0001689,108250.0,108689.55,109282.5,111546.78725
H3,100,0.1000000000000004,1e-12,P5,1,1,0.0,0.0,6,1,1,5,0,0,0.0002442,3.885000000000002e-05,0.0002359,592500.0,594153.8999999999,596385.0,604904.8605000001
H3,100,0.1000000000000004,1e-12,M6,1,1,3.72014413826016e-15,9.155133597044477e-16,4,2,1,5,20000,200,0.0002506,3.0999999999999995e-05,0.0002453,569900.0,571583.7,573855.0,582528.3715
H4,150,0.0999999999999998,1e-12,P5,1,1,5.5102214927216124e-17,1.3877787807814457e-17,6,1,1,5,0,0,0.0005495,3.0100000000000027e-05,0.0005086,1716850.0,1720448.3499999999,1725302.5,1743838.9532500003
H4,150,0.0999999999999998,1e-12,M6,1,1,9.11760061461197e-15,2.2315638142795905e-15,4,2,1,5,45000,300,0.0005704,6.990000000000002e-05,0.0005202,1665550.0,1669193.0499999998,1674107.5,1692874.2197500002
H5,200,0.0999999999999992,1e-12,P5,1,1,0.0,0.0,6,1,1,5,0,0,0.0010378,8.434999999999996e-05,0.0009798,3707400.0,3713687.8000000003,3722170.0,3754560.8209999995
H5,200,0.0999999999999992,1e-12,M6,1,1,1.801529696042477e-15,4.440892098500626e-16,4,2,1,5,80000,400,0.0010821,0.0001271999999999,0.0009896,3619000.0,3625347.4000000004,3633910.0,3666607.843
