kappa,system,N,relative_loss_percent
1.298,H5,28,17.76197720954964
1.298,H5,29,18.777444509487616
1.298,H5,30,19.773951576027883
1.7,H1,2,0.844781944262496
1.7,H1,3,0.0
1.7,H1,4,3.6737294202501047
1.7,H1,5,8.372650814685844
1.7,H1,6,13.11056158367564
1.7,H1,7,17.57763418935443
1.7,H1,8,21.688088725462464
1.7,H1,9,25.436861199201655
1.7,H1,10,28.847782707420333
1.7,H1,11,31.95345411138536
1.7,H1,12,34.78724238010875
1.7,H1,13,37.38021266579247
1.7,H1,14,39.76013758709501
1.7,H1,15,41.95138133768861
1.7,H1,16,43.97513454905299
1.7,H1,17,45.84976798842333
1.7,H1,18,47.5912035607029
1.7,H1,19,49.21326053324149
1.7,H1,20,50.72796215058643
1.7,H1,21,52.145800081253554
1.7,H1,22,53.47595936129661
1.7,H1,23,54.72650840383487
1.7,H1,24,55.90455901937842
1.7,H1,25,57.016401102767276
1.7,H1,26,58.0676161038476
1.7,H1,27,59.063172805361845
1.7,H1,28,60.00750836918343
1.7,H1,29,60.90459711424163
1.7,H1,30,61.758009064277644
1.7,H5,2,29.283459297556192
1.7,H5,3,16.999909492535448
1.7,H5,4,9.876009180574696
1.7,H5,5,5.480900272142009
1.7,H5,6,2.7608596002570818
1.7,H5,7,1.148554716656991
1.7,H5,8,0.3019695607713868
1.7,H5,9,0.0
1.7,H5,10,0.09275466978228009
1.7,H5,11,0.4750676229102524
1.7,H5,12,1.0712161303806922
1.7,H5,13,1.8255696280030542
1.7,H5,14,2.696602862662245
1.7,H5,15,3.652922637377398
1.7,H5,16,4.670552701177055
1.7,H5,17,5.7310328697969375
1.7,H5,18,6.820060733591049
1.7,H5,19,7.926503990536659
1.7,H5,20,9.041671365103054
1.7,H5,21,10.15876728709163
1.7,H5,22,11.272479272201286
1.7,H5,23,12.378662501562697
1.7,H5,24,13.474096499185862
1.7,H5,25,14.556295895224281
1.7,H5,26,15.62336217685264
1.7,H5,27,16.67386678699302
1.7,H5,28,17.706758398879597
1.7,H5,29,18.721288977406214
1.7,H5,30,19.716954541110653
3.23511,H1,2,1.4300852774167816
3.23511,H1,3,0.0
3.23511,H1,4,3.277908859279144
3.23511,H1,5,7.7189483953916564
3.23511,H1,6,12.289063797802891
3.23511,H1,7,16.64705377425634
3.23511,H1,8,20.687319975818784
3.23511,H1,9,24.392154388855104
3.23511,H1,10,27.77715514963546
3.23511,H1,11,30.86944440852506
3.23511,H1,12,33.69866797833729
3.23511,H1,13,36.29331682740619
3.23511,H1,14,38.67935396125629
3.23511,H1,15,40.87985363416743
3.23511,H1,16,42.91507601649602
3.23511,H1,17,44.80271402653544
3.23511,H1,18,46.55819174980193
3.23511,H1,19,48.194960552882826
3.23511,H1,20,49.72477058332534
3.23511,H1,21,51.15791027537273
3.23511,H1,22,52.50341336012497
3.23511,H1,23,53.76923583603306
3.23511,H1,24,54.96240641253509
3.23511,H1,25,56.08915409853116
3.23511,H1,26,57.155016367675124
