kappa,system,n,N,q_star,p_at_q_star,cost_at_q_star,eta_star,eta_q_Nplus1,eta_q_Nplus2,rel_eta_qN2_vs_qN1
1.298,H3,100,6,2,20.80776406404415,1033860.5,2.9359146513173778e-06,2.3149997164373804e-06,2.1829263406029347e-06,-0.05705114125789057
1.298,H4,150,2,3,10.898979485566356,1916705.9499999997,1.2462366278325525e-06,1.2462366278325525e-06,1.196922905661692e-06,-0.03957011138135669
1.298,H4,150,3,3,15.615773105863909,2195884.75,1.2515599919219007e-06,1.24285126889485e-06,1.1874172217545456e-06,-0.044602317692926
1.298,H4,150,4,3,19.69535971483266,2475063.55,1.2041642569249818e-06,1.1547370965875584e-06,1.0987301717431592e-06,-0.048501884117093885
1.298,H4,150,5,2,17.774964387392124,2483974.15,1.1585430436806496e-06,1.044524198207495e-06,9.920126909354154e-07,-0.05027313619176499
1.298,H4,150,6,2,20.80776406404415,2718108.25,1.1167054105988273e-06,9.351821068429995e-07,8.879054959039371e-07,-0.05055337414298855
1.298,H5,200,2,3,10.898979485566356,4065364.6000000006,5.875657892221004e-07,5.875657892221004e-07,5.704028798313892e-07,-0.029210191787091166
1.298,H5,200,3,4,19.165151389911678,4878241.4,6.053602837473974e-07,6.053602837473974e-07,5.838872720767925e-07,-0.03547145765440585
1.298,H5,200,4,3,19.69535971483266,5050641.4,5.900999149390921e-07,5.773472049763817e-07,5.537530130395677e-07,-0.040866556092151285
1.298,H5,200,5,3,23.747340124470732,5543279.800000001,5.714072974360128e-07,5.331600536635027e-07,5.09689083782096e-07,-0.04402237136884246
1.298,H5,200,6,2,20.80776406404415,5475501.0,5.543467509855829e-07,4.85201920625687e-07,4.631398109850734e-07,-0.045469955296474684
1.7,H1,20,2,2,8.531128874149275,14319.0,0.00014971169036821883,0.00014251352304006854,0.00012789118130495397,-0.10260318756559972
1.7,H1,20,3,2,11.65685424949238,18441.0,0.0001331757689170344,0.00011834623484520103,0.00010760133962098303,-0.0907920327019488
1.7,H1,20,4,2,14.72841614740048,22563.0,0.00011921192656377772,9.714995998456478e-05,8.912304826798957e-05,-0.082623932298588
1.7,H1,20,5,2,17.774964387392124,26685.0,0.00010784301938036553,8.056463094742271e-05,7.444831821811695e-05,-0.07591808784300547
1.7,H1,20,6,2,20.80776406404415,30807.0,9.852715906671568e-05,6.773194445834053e-05,6.29776381979119e-05,-0.07019296874538761
1.7,H2,50,2,2,8.531128874149275,121822.5,1.7597091624145995e-05,1.7444773034449537e-05,1.615374577540349e-05,-0.07400653803271351
1.7,H2,50,3,2,11.65685424949238,149927.5,1.6380546294702647e-05,1.5525642249082196e-05,1.4430055928253535e-05,-0.07056624796912514
1.7,H2,50,4,2,14.72841614740048,178032.5,1.5108357738382132e-05,1.3323193195008119e-05,1.2419816719878446e-05,-0.06780480188999627
1.7,H2,50,5,2,17.774964387392124,206137.5,1.3960540766066603e-05,1.1388483326898105e-05,1.0651776175081342e-05,-0.06468878521135091
1.7,H2,50,6,2,20.80776406404415,234242.5,1.2958050692629688e-05,9.784699423331246e-06,9.183569217092372e-06,-0.061435735553153736
1.7,H3,100,2,3,10.898979485566356,684145.0,3.4914662237896773e-06,3.4914662237896773e-06,3.2993589813987025e-06,-0.055021939230578965
1.7,H3,100,3,3,15.615773105863909,807425.0,3.4037607207745923e-06,3.326660994465843e-06,3.1357161416430114e-06,-0.0573983502197799
1.7,H3,100,4,2,14.72841614740048,830355.0,3.2393117390254974e-06,2.98584110777597e-06,2.8104668248746864e-06,-0.05873530324321663
1.7,H3,100,5,2,17.774964387392124,933565.0,3.0825823292058448e-06,2.631189516317546e-06,2.4775464066296144e-06,-0.058393022902797576
1.7,H3,100,6,2,20.80776406404415,1036775.0,2.92766143991542e-06,2.3092475732272817e-06,2.1775809602377402e-06,-0.05701710570838936
1.7,H4,150,2,3,10.898979485566356,1922042.5,1.2427764524845777e-06,1.2427764524845777e-06,1.193712981141601e-06,-0.039478919354231645
1.7,H4,150,3,3,15.615773105863909,2201462.5,1.2483889686839657e-06,1.2398149774778149e-06,1.1846088388737515e-06,-0.044527723577247436
1.7,H4,150,4,3,19.69535971483266,2480882.5,1.2013398701985511e-06,1.152207821477224e-06,1.0963905496347992e-06,-0.04844375363713682
