family,n,delta,tol,method,macrocycles,converged,residual,error,F_total_including_terminal,J,LU,solves,matvecs,time_median_s,time_iqr_s,time_min_s,work_k1p0,work_k1p298,work_k1p7,work_k3p23511
G1,200,0.09999999999999927,1e-08,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0012982,7.925000000000011e-05,0.0011710000000000002,4109000.0,4115585.8000000003,4124470.0,4158395.931
G1,200,0.09999999999999927,1e-08,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0017922,0.0001198000000000002,0.0016911,6295600.0,6307758.4,6324160.0,6386792.488
G1,200,0.09999999999999927,1e-10,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0012416,5.4699999999999974e-05,0.0011743,4109000.0,4115585.8000000003,4124470.0,4158395.931
G1,200,0.09999999999999927,1e-10,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0017705000000000002,0.0001263499999999999,0.0016604,6295600.0,6307758.4,6324160.0,6386792.488
G1,200,0.09999999999999927,1e-12,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0012698000000000002,0.00011004999999999999,0.0011733000000000002,4109000.0,4115585.8000000003,4124470.0,4158395.931
G1,200,0.09999999999999927,1e-12,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0018369,0.00011749999999999998,0.0017173000000000002,6295600.0,6307758.4,6324160.0,6386792.488
G1,200,0.3000000000000004,1e-08,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0012583000000000002,7.390000000000001e-05,0.00117,4109000.0,4115585.8000000003,4124470.0,4158395.931
G1,200,0.3000000000000004,1e-08,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0017735000000000001,0.00015329999999999988,0.0016625000000000001,6295600.0,6307758.4,6324160.0,6386792.488
G1,200,0.3000000000000004,1e-10,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0012505,9.580000000000005e-05,0.0011784,4109000.0,4115585.8000000003,4124470.0,4158395.931
G1,200,0.3000000000000004,1e-10,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0017688,0.00013265,0.0016449000000000001,6295600.0,6307758.4,6324160.0,6386792.488
G1,200,0.3000000000000004,1e-12,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0012683,9.470000000000008e-05,0.0011768,4109000.0,4115585.8000000003,4124470.0,4158395.931
G1,200,0.3000000000000004,1e-12,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0017767000000000002,0.00010745000000000025,0.0016610000000000001,6295600.0,6307758.4,6324160.0,6386792.488
G1,200,0.5999999999999995,1e-08,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0012599,0.00012695000000000002,0.0011872,4109000.0,4115585.8000000003,4124470.0,4158395.931
G1,200,0.5999999999999995,1e-08,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0017891,0.00012455000000000018,0.0016090000000000002,6295600.0,6307758.4,6324160.0,6386792.488
G1,200,0.5999999999999995,1e-10,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0012432,7.605000000000003e-05,0.0011657,4109000.0,4115585.8000000003,4124470.0,4158395.931
G1,200,0.5999999999999995,1e-10,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0017661,0.00012300000000000006,0.0016274000000000002,6295600.0,6307758.4,6324160.0,6386792.488
G1,200,0.5999999999999995,1e-12,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0012729,7.474999999999973e-05,0.0011815,4109000.0,4115585.8000000003,4124470.0,4158395.931
