system,n,delta,family,index,cycles,converged,residual,error,F_total_including_terminal,J,LU,solves,time_median_s,time_iqr_s,time_min_s,work_total_k1p0,work_total_k1p298,work_total_k1p7,work_total_k3p23511
H5,200,0.3000000000000004,P,5,1,1,4.5343403831095646e-14,1.1563686989138078e-14,6,1,1,5,0.0009886,4.104999999999994e-05,0.0009103,3707400.0,3713687.8000000003,3722170.0,3754560.8209999995
H5,200,0.3000000000000004,P,6,1,1,0.0,0.0,7,1,1,6,0.0010362,9.925000000000016e-05,0.0009784,3873600.0,3879947.4000000004,3888510.0,3921207.8429999994
H5,200,0.3000000000000004,P,7,1,1,0.0,0.0,8,1,1,7,0.0010989,9.274999999999996e-05,0.0010301,4039800.0,4046207.0000000005,4054850.0,4087854.8649999998
H5,200,0.3000000000000004,P,8,1,1,0.0,0.0,9,1,1,8,0.0011157,6.769999999999997e-05,0.0010646,4206000.0,4212466.600000001,4221190.0,4254501.887
H5,200,0.3000000000000004,P,9,1,1,0.0,0.0,10,1,1,9,0.0011608,8.805000000000011e-05,0.0011257,4372200.0,4378726.2,4387530.0,4421148.909
H5,200,0.3000000000000004,P,10,1,1,0.0,0.0,11,1,1,10,0.001212,4.7100000000000006e-05,0.001161,4538400.0,4544985.800000001,4553870.0,4587795.931
H5,200,0.3000000000000004,P,11,1,1,0.0,0.0,12,1,1,11,0.0012725,0.00011485,0.0012156,4704600.0,4711245.4,4720210.0,4754442.952999999
H5,200,0.3000000000000004,P,12,1,1,0.0,0.0,13,1,1,12,0.0012928,7.004999999999989e-05,0.0012431,4870800.0,4877505.000000001,4886550.0,4921089.975
H5,200,0.3000000000000004,P,13,1,1,0.0,0.0,14,1,1,13,0.0013714,0.0001119499999999,0.0013032,5037000.0,5043764.600000001,5052890.0,5087736.9969999995
H5,200,0.3000000000000004,P,14,1,1,0.0,0.0,15,1,1,14,0.001399,3.755000000000013e-05,0.0013465,5203200.0,5210024.200000001,5219230.0,5254384.018999999
H5,200,0.3000000000000004,P,15,1,1,0.0,0.0,16,1,1,15,0.0014375,6.174999999999996e-05,0.0013713,5369400.0,5376283.800000001,5385570.0,5421031.040999999
H5,200,0.3000000000000004,P,16,1,1,0.0,0.0,17,1,1,16,0.00148,4.17000000000002e-05,0.0013938,5535600.0,5542543.4,5551910.0,5587678.062999999
H5,200,0.3000000000000004,P,17,1,1,0.0,0.0,18,1,1,17,0.0015425,6.909999999999989e-05,0.0014546,5701800.0,5708803.000000001,5718250.0,5754325.084999999
H5,200,0.3000000000000004,P,18,1,1,0.0,0.0,19,1,1,18,0.0015762,0.0001537999999999,0.001499,5868000.0,5875062.600000001,5884590.0,5920972.106999999
H5,200,0.3000000000000004,P,19,1,1,0.0,0.0,20,1,1,19,0.0016125,9.690000000000002e-05,0.0015507,6034200.0,6041322.200000001,6050930.0,6087619.128999999
H5,200,0.3000000000000004,P,20,1,1,0.0,0.0,21,1,1,20,0.001664,5.66500000000001e-05,0.0016155,6200400.0,6207581.800000001,6217270.0,6254266.150999999
H5,200,0.3000000000000004,S,1,3,1,0.0,0.0,4,3,3,3,0.0023276,0.0001983,0.0022187,8875400.0,8893548.200000001,8918030.0,9011518.199
H5,200,0.3000000000000004,S,2,2,1,0.0,0.0,5,2,2,4,0.0016548,0.0001594,0.0015938,6291400.0,6303618.000000001,6320100.0,6383039.51
H5,200,0.3000000000000004,S,3,2,1,0.0,0.0,7,2,2,6,0.00173,8.875000000000007e-05,0.0016427,6623800.0,6636137.2,6652780.0,6716333.554
H5,200,0.3000000000000004,S,4,2,1,0.0,0.0,9,2,2,8,0.0018561,0.000118,0.0017451,6956200.0,6968656.4,6985460.0,7049627.597999999
H5,200,0.3000000000000004,S,5,1,1,4.5343403831095646e-14,1.1563686989138078e-14,6,1,1,5,0.0009992,6.77500000000001e-05,0.0009381,3707400.0,3713687.8000000003,3722170.0,3754560.8209999995
H5,200,0.3000000000000004,S,6,1,1,0.0,0.0,7,1,1,6,0.0010396,5.6500000000000127e-05,0.0009788,3873600.0,3879947.4000000004,3888510.0,3921207.8429999994
H5,200,0.3000000000000004,S,7,1,1,0.0,0.0,8,1,1,7,0.0010962,5.984999999999997e-05,0.0010186,4039800.0,4046207.0000000005,4054850.0,4087854.8649999998
H5,200,0.3000000000000004,S,8,1,1,0.0,0.0,9,1,1,8,0.0011351,7.08000000000002e-05,0.0010803,4206000.0,4212466.600000001,4221190.0,4254501.887
