kappa,system,n,N,q,p_reference,cost,eta
1.7,H2,50,5,5,35.72004514666935,296767.5,1.2048866604031832e-05
1.7,H2,50,5,6,41.420577856662135,326977.5,1.1388483326898105e-05
1.7,H2,50,5,7,44.91093483101497,357187.5,1.0651776175081342e-05
1.7,H2,50,6,2,20.80776406404415,234242.5,1.2958050692629688e-05
1.7,H2,50,6,3,27.78404875209022,269487.5,1.2336238490180185e-05
1.7,H2,50,6,4,34.76991603917054,304732.5,1.1645467848908997e-05
1.7,H2,50,6,5,41.760539492026695,339977.5,1.097705542973081e-05
1.7,H2,50,6,6,48.75386567126981,375222.5,1.0358612530221477e-05
1.7,H2,50,6,7,55.49545416973504,410467.5,9.784699423331246e-06
1.7,H2,50,6,8,59.93325909419152,445712.5,9.183569217092372e-06
1.7,H3,100,2,2,8.531128874149275,623935.0,3.435809330110549e-06
1.7,H3,100,2,3,10.898979485566356,684145.0,3.4914662237896773e-06
1.7,H3,100,2,4,11.65685424949238,744355.0,3.2993589813987025e-06
1.7,H3,100,3,2,11.65685424949238,727145.0,3.3774479018614326e-06
1.7,H3,100,3,3,15.615773105863909,807425.0,3.4037607207745923e-06
1.7,H3,100,3,4,19.165151389911678,887705.0,3.326660994465843e-06
1.7,H3,100,3,5,20.807764064044157,967985.0,3.1357161416430114e-06
1.7,H3,100,4,2,14.72841614740048,830355.0,3.2393117390254974e-06
1.7,H3,100,4,3,19.69535971483266,930705.0,3.202285429355013e-06
1.7,H3,100,4,4,24.67579566188592,1031055.0,3.109264617764135e-06
1.7,H3,100,4,5,29.317821063276355,1131405.0,2.98584110777597e-06
1.7,H3,100,4,6,31.874507866387546,1231755.0,2.8104668248746864e-06
1.7,H3,100,5,2,17.774964387392124,933565.0,3.0825823292058448e-06
1.7,H3,100,5,3,23.747340124470732,1053985.0,3.00523302461576e-06
1.7,H3,100,5,4,29.730919862656236,1174405.0,2.8884308029043473e-06
1.7,H3,100,5,5,35.72004514666935,1294825.0,2.761540764127984e-06
1.7,H3,100,5,6,41.420577856662135,1415245.0,2.631189516317546e-06
1.7,H3,100,5,7,44.91093483101497,1535665.0,2.4775464066296144e-06
1.7,H3,100,6,2,20.80776406404415,1036775.0,2.92766143991542e-06
1.7,H3,100,6,3,27.78404875209022,1177265.0,2.8238859306294105e-06
1.7,H3,100,6,4,34.76991603917054,1317755.0,2.693029076928307e-06
1.7,H3,100,6,5,41.760539492026695,1458245.0,2.5592077204868225e-06
1.7,H3,100,6,6,48.75386567126981,1598735.0,2.4311624441330353e-06
1.7,H3,100,6,7,55.49545416973504,1739225.0,2.3092475732272817e-06
1.7,H3,100,6,8,59.93325909419152,1879715.0,2.1775809602377402e-06
1.7,H4,150,2,2,8.531128874149275,1786727.5,1.199803380416166e-06
1.7,H4,150,2,3,10.898979485566356,1922042.5,1.2427764524845777e-06
1.7,H4,150,2,4,11.65685424949238,2057357.5,1.193712981141601e-06
1.7,H4,150,3,2,11.65685424949238,2021042.5,1.2151621525024987e-06
1.7,H4,150,3,3,15.615773105863909,2201462.5,1.2483889686839657e-06
1.7,H4,150,3,4,19.165151389911678,2381882.5,1.2398149774778149e-06
1.7,H4,150,3,5,20.807764064044157,2562302.5,1.1846088388737515e-06
1.7,H4,150,4,2,14.72841614740048,2255357.5,1.1926174449321303e-06
1.7,H4,150,4,3,19.69535971483266,2480882.5,1.2013398701985511e-06
1.7,H4,150,4,4,24.67579566188592,2706407.5,1.1845307221727698e-06
1.7,H4,150,4,5,29.317821063276355,2931932.5,1.152207821477224e-06
1.7,H4,150,4,6,31.874507866387546,3157457.5,1.0963905496347992e-06
1.7,H4,150,5,2,17.774964387392124,2489672.5,1.1558913761408595e-06
1.7,H4,150,5,3,23.747340124470732,2760302.5,1.1475084812079987e-06
1.7,H4,150,5,4,29.730919862656236,3030932.5,1.1191894168164023e-06
1.7,H4,150,5,5,35.72004514666935,3301562.5,1.0830362956666781e-06
1.7,H4,150,5,6,41.420577856662135,3572192.5,1.0424348091601516e-06
1.7,H4,150,5,7,44.91093483101497,3842822.5,9.900746918539346e-07
1.7,H4,150,6,2,20.80776406404415,2723987.5,1.1142951975250657e-06
1.7,H4,150,6,3,27.78404875209022,3039722.5,1.0936728830090355e-06
1.7,H4,150,6,4,34.76991603917054,3355457.5,1.0576061628757511e-06
1.7,H4,150,6,5,41.760539492026695,3671192.5,1.016550306844794e-06
1.7,H4,150,6,6,48.75386567126981,3986927.5,9.74882159287077e-07
1.7,H4,150,6,7,55.49545416973504,4302662.5,9.334455376284379e-07
1.7,H4,150,6,8,59.93325909419152,4618397.5,8.862882839065464e-07
1.7,H5,200,2,2,8.531128874149275,3834070.0,5.591242972565773e-07
1.7,H5,200,2,3,10.898979485566356,4074490.0,5.862498520488672e-07
1.7,H5,200,2,4,11.65685424949238,4314910.0,5.691646765747215e-07
1.7,H5,200,3,2,11.65685424949238,4246890.0,5.782806605772769e-07
1.7,H5,200,3,3,15.615773105863909,4567450.0,6.017102540742483e-07
1.7,H5,200,3,4,19.165151389911678,4888010.0,6.041504821169149e-07
1.7,H5,200,3,5,20.807764064044157,5208570.0,5.827561479193541e-07
1.7,H5,200,4,2,14.72841614740048,4659710.0,5.772416521754609e-07
1.7,H5,200,4,3,19.69535971483266,5060410.0,5.889607878665676e-07
1.7,H5,200,4,4,24.67579566188592,5461110.0,5.870276977517025e-07
1.7,H5,200,4,5,29.317821063276355,5861810.0,5.763058779699907e-07
1.7,H5,200,4,6,31.874507866387546,6262510.0,5.527826005664692e-07
1.7,H5,200,5,2,17.774964387392124,5072530.0,5.673285268229176e-07
1.7,H5,200,5,3,23.747340124470732,5553370.0,5.70369078496416e-07
