family,n,delta,tol,macro_hat,macro_comp,CPU_hat_ms,CPU_comp_ms,CPU_relative_hat_vs_comp,IQR_hat_ms,IQR_comp_ms,CPU_clear_2IQR,work_hat,work_comp,work_relative_hat_vs_comp,residual_hat,residual_comp
G5,40,0.10000000000000006,1e-10,1,1,0.2459,0.18610000000000002,0.3213326168726489,0.020799999999999964,0.0022499999999999734,1,86576.0,88696.0,-0.02390186705150177,0.0,0.0
G5,40,0.10000000000000006,1e-08,1,1,0.2378,0.18700000000000003,0.27165775401069503,0.015449999999999997,0.014749999999999978,0,86576.0,88696.0,-0.02390186705150177,0.0,0.0
G5,40,0.29999999999999993,1e-12,1,1,0.2393,0.1857,0.2886375875067313,0.017349999999999987,0.01235000000000003,0,86576.0,88696.0,-0.02390186705150177,0.0,0.0
G5,40,0.29999999999999993,1e-10,1,1,0.24090000000000003,0.1955,0.23222506393861897,0.021350000000000004,0.021349999999999977,0,86576.0,88696.0,-0.02390186705150177,0.0,0.0
G5,40,0.29999999999999993,1e-08,1,1,0.23840000000000003,0.18720000000000003,0.2735042735042734,0.01785,0.01460000000000003,0,86576.0,88696.0,-0.02390186705150177,0.0,0.0
G5,40,0.6000000000000001,1e-12,1,1,0.24150000000000002,0.18710000000000002,0.290753607696419,0.02069999999999996,0.021549999999999982,0,86576.0,88696.0,-0.02390186705150177,0.0,0.0
G5,40,0.6000000000000001,1e-10,1,1,0.24090000000000003,0.1874,0.28548559231590187,0.014150000000000018,0.019949999999999996,0,86576.0,88696.0,-0.02390186705150177,0.0,0.0
G5,40,0.6000000000000001,1e-08,1,1,0.24350000000000002,0.1877,0.29728289824187537,0.02655000000000005,0.010799999999999992,0,86576.0,88696.0,-0.02390186705150177,0.0,0.0
G5,55,0.09999999999999996,1e-12,1,1,0.2756,0.2223,0.23976608187134518,0.01519999999999999,0.013299999999999998,0,174867.0,194007.0,-0.0986562340534104,0.0,0.0
G5,55,0.09999999999999996,1e-10,1,1,0.2829,0.2367,0.19518377693282618,0.04285000000000004,0.02754999999999999,0,174867.0,194007.0,-0.0986562340534104,0.0,0.0
G5,55,0.09999999999999996,1e-08,1,1,0.28240000000000004,0.22460000000000002,0.257346393588602,0.015149999999999962,0.027399999999999987,0,174867.0,194007.0,-0.0986562340534104,0.0,0.0
G5,55,0.30000000000000016,1e-12,1,1,0.27690000000000003,0.22300000000000003,0.24170403587443934,0.011949999999999992,0.01619999999999999,0,174867.0,194007.0,-0.0986562340534104,0.0,0.0
G5,55,0.30000000000000016,1e-10,1,1,0.2741,0.2237,0.22530174340634757,0.02335,0.012750000000000011,0,174867.0,194007.0,-0.0986562340534104,0.0,0.0
G5,55,0.30000000000000016,1e-08,1,1,0.2725,0.23040000000000002,0.18272569444444442,0.017100000000000035,0.02304999999999999,0,174867.0,194007.0,-0.0986562340534104,0.0,0.0
G5,55,0.6000000000000001,1e-12,1,1,0.2735,0.22360000000000002,0.22316636851520588,0.011550000000000036,0.013349999999999999,1,174867.0,194007.0,-0.0986562340534104,0.0,0.0
G5,55,0.6000000000000001,1e-10,1,1,0.27390000000000003,0.22410000000000002,0.22222222222222232,0.01349999999999995,0.0134,0,174867.0,194007.0,-0.0986562340534104,0.0,0.0
G5,55,0.6000000000000001,1e-08,1,1,0.27330000000000004,0.2257,0.21089942401417816,0.005950000000000009,0.008750000000000023,1,174867.0,194007.0,-0.0986562340534104,0.0,0.0
G5,100,0.10000000000000042,1e-12,1,1,0.36200000000000004,0.3322,0.0897049969897652,0.01375000000000009,0.01455,0,712440.0,925740.0,-0.23041026638148943,0.0,0.0
G5,100,0.10000000000000042,1e-10,1,1,0.3636,0.33080000000000004,0.09915356711003631,0.025199999999999962,0.052450000000000004,0,712440.0,925740.0,-0.23041026638148943,0.0,0.0
G5,100,0.10000000000000042,1e-08,1,1,0.3679,0.32670000000000005,0.1261095806550352,0.021100000000000025,0.012700000000000038,0,712440.0,925740.0,-0.23041026638148943,0.0,0.0
G5,100,0.3000000000000004,1e-12,1,1,0.3643,0.335,0.08746268656716416,0.02115,0.022199999999999998,0,712440.0,925740.0,-0.23041026638148943,0.0,0.0
G5,100,0.3000000000000004,1e-10,1,1,0.37320000000000003,0.3412,0.09378663540445498,0.03250000000000003,0.027300000000000012,0,712440.0,925740.0,-0.23041026638148943,0.0,0.0
G5,100,0.3000000000000004,1e-08,1,1,0.36860000000000004,0.3332,0.1062424969987994,0.01699999999999998,0.032849999999999956,0,712440.0,925740.0,-0.23041026638148943,0.0,0.0
G5,100,0.5999999999999996,1e-12,1,1,0.3718,0.33580000000000004,0.10720667063728406,0.021799999999999986,0.01675,0,712440.0,925740.0,-0.23041026638148943,0.0,0.0
G5,100,0.5999999999999996,1e-10,1,1,0.3725,0.32630000000000003,0.14158749616916944,0.02224999999999997,0.02015000000000003,0,712440.0,925740.0,-0.23041026638148943,0.0,0.0
